"YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","OP_CARRIER_AIRLINE_ID","OP_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","FIRST_DEP_TIME","TOTAL_ADD_GTIME","LONGEST_ADD_GTIME","DIV_AIRPORT_LANDINGS","DIV_REACHED_DEST","DIV_ACTUAL_ELAPSED_TIME","DIV_ARR_DELAY","DIV_DISTANCE","DIV1_AIRPORT","DIV1_AIRPORT_ID","DIV1_AIRPORT_SEQ_ID","DIV1_WHEELS_ON","DIV1_TOTAL_GTIME","DIV1_LONGEST_GTIME","DIV1_WHEELS_OFF","DIV1_TAIL_NUM","DIV2_AIRPORT","DIV2_AIRPORT_ID","DIV2_AIRPORT_SEQ_ID","DIV2_WHEELS_ON","DIV2_TOTAL_GTIME","DIV2_LONGEST_GTIME","DIV2_WHEELS_OFF","DIV2_TAIL_NUM","DIV3_AIRPORT","DIV3_AIRPORT_ID","DIV3_AIRPORT_SEQ_ID","DIV3_WHEELS_ON","DIV3_TOTAL_GTIME","DIV3_LONGEST_GTIME","DIV3_WHEELS_OFF","DIV3_TAIL_NUM","DIV4_AIRPORT","DIV4_AIRPORT_ID","DIV4_AIRPORT_SEQ_ID","DIV4_WHEELS_ON","DIV4_TOTAL_GTIME","DIV4_LONGEST_GTIME","DIV4_WHEELS_OFF","DIV4_TAIL_NUM","DIV5_AIRPORT","DIV5_AIRPORT_ID","DIV5_AIRPORT_SEQ_ID","DIV5_WHEELS_ON","DIV5_TOTAL_GTIME","DIV5_LONGEST_GTIME","DIV5_WHEELS_OFF","DIV5_TAIL_NUM"
1989,4,11,2,4,1989-11-02,AA,19805,AA,,1,12478,1247801,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289201,32575,LAX,"Los Angeles, CA",CA,06,California,91,0900,0900,0.00,0.00,0.00,0,0900-0959,,,,,1157,1154,-3.00,0.00,0.00,-1,1100-1159,0.00,,0.00,357.00,354.00,,1.00,2475.00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,4,11,3,5,1989-11-03,AA,19805,AA,,1,12478,1247801,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289201,32575,LAX,"Los Angeles, CA",CA,06,California,91,0900,0900,0.00,0.00,0.00,0,0900-0959,,,,,1157,1135,-22.00,0.00,0.00,-2,1100-1159,0.00,,0.00,357.00,335.00,,1.00,2475.00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,4,11,4,6,1989-11-04,AA,19805,AA,,1,12478,1247801,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289201,32575,LAX,"Los Angeles, CA",CA,06,California,91,0900,0857,-3.00,0.00,0.00,-1,0900-0959,,,,,1157,1151,-6.00,0.00,0.00,-1,1100-1159,0.00,,0.00,357.00,354.00,,1.00,2475.00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,4,11,5,7,1989-11-05,AA,19805,AA,,1,12478,1247801,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289201,32575,LAX,"Los Angeles, CA",CA,06,California,91,0900,0900,0.00,0.00,0.00,0,0900-0959,,,,,1157,1155,-2.00,0.00,0.00,-1,1100-1159,0.00,,0.00,357.00,355.00,,1.00,2475.00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,4,11,7,2,1989-11-07,AA,19805,AA,,1,12478,1247801,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289201,32575,LAX,"Los Angeles, CA",CA,06,California,91,0900,0858,-2.00,0.00,0.00,-1,0900-0959,,,,,1157,1145,-12.00,0.00,0.00,-1,1100-1159,0.00,,0.00,357.00,347.00,,1.00,2475.00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,4,11,8,3,1989-11-08,AA,19805,AA,,1,12478,1247801,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289201,32575,LAX,"Los Angeles, CA",CA,06,California,91,0900,0900,0.00,0.00,0.00,0,0900-0959,,,,,1157,1134,-23.00,0.00,0.00,-2,1100-1159,0.00,,0.00,357.00,334.00,,1.00,2475.00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,4,11,9,4,1989-11-09,AA,19805,AA,,1,12478,1247801,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289201,32575,LAX,"Los Angeles, CA",CA,06,California,91,0900,0901,1.00,1.00,0.00,0,0900-0959,,,,,1157,1134,-23.00,0.00,0.00,-2,1100-1159,0.00,,0.00,357.00,333.00,,1.00,2475.00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,4,11,10,5,1989-11-10,AA,19805,AA,,1,12478,1247801,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289201,32575,LAX,"Los Angeles, CA",CA,06,California,91,0900,0900,0.00,0.00,0.00,0,0900-0959,,,,,1157,1134,-23.00,0.00,0.00,-2,1100-1159,0.00,,0.00,357.00,334.00,,1.00,2475.00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,4,11,11,6,1989-11-11,AA,19805,AA,,1,12478,1247801,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289201,32575,LAX,"Los Angeles, CA",CA,06,California,91,0900,0858,-2.00,0.00,0.00,-1,0900-0959,,,,,1157,1145,-12.00,0.00,0.00,-1,1100-1159,0.00,,0.00,357.00,347.00,,1.00,2475.00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,4,11,12,7,1989-11-12,AA,19805,AA,,1,12478,1247801,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289201,32575,LAX,"Los Angeles, CA",CA,06,California,91,0900,0857,-3.00,0.00,0.00,-1,0900-0959,,,,,1157,1139,-18.00,0.00,0.00,-2,1100-1159,0.00,,0.00,357.00,342.00,,1.00,2475.00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
